Slip Ratio,FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-0.035999999999999976,-338.9673654117703,-492.6225150369733,-534.6594356831439,-435.97434532417526,-213.3699608878955
-0.033999999999999975,-321.22870063437654,-457.094283094769,-478.35942618055446,-360.2094741485226,-126.81039468383895
-0.03199999999999997,-302.80782320993484,-420.49163729426806,-420.8809135252829,-283.6477253070999,-40.24969216932276
-0.02999999999999997,-283.7218182729871,-382.8788471272186,-362.36360348908823,-206.50528240612,46.089238651683566
-0.02799999999999997,-263.992873937905,-344.3294025944054,-302.9579742244444,-129.00481889614858,131.98738281715885
-0.025999999999999968,-243.64839357904168,-304.92568250831926,-242.82393680922593,-51.372944708875224,217.23008061925242
-0.023999999999999966,-222.72103310661788,-264.7584569076876,-182.12928911898925,26.165596940291692,301.6090898452141
-0.021999999999999964,-201.2486558203304,-223.92622464644748,-121.04799219602967,103.39115824821309,384.9245173704747
-0.019999999999999962,-179.274199201888,-182.53439241026854,-59.75830499267411,180.08771906129235,466.9865837026043
-0.01799999999999996,-156.8454501923462,-140.69430672533872,1.559721683216525,256.0449277598632,547.6171896849079
-0.01599999999999996,-134.01472802810872,-98.52215570037879,62.729153278896625,331.0602628374904,626.6512610205033
-0.013999999999999957,-110.838476490855,-56.13776201623985,123.57600549033315,404.9410215173508,703.937853259408
-0.011999999999999955,-87.37677034679588,-13.663280098736484,183.92974436191577,477.50609611129903,779.3410070803114
-0.010000000000000009,-63.692743675865586,28.77942027380294,243.6250560150802,548.5875065191302,852.7403507835671
-0.008000000000000007,-39.85195057681643,71.07117482596982,302.5035035282489,618.0316657889258,924.0314536091932
-0.006000000000000005,-15.921671233237479,113.09467717908862,360.41503367223044,685.7003645746473,993.1259395625233
-0.0040000000000000036,8.029973389355689,154.73544717066204,417.2193049568794,751.471469201834,1059.9513766829075
-0.0020000000000000018,31.936240370406708,195.88299306911176,472.786814818433,815.2393364883585,1124.4509609974352
0.0,55.731848200762585,236.43188683298985,526.9998106608986,876.914956125001,1186.5830176914972
0.0020000000000000018,79.35269942504274,276.2827311999953,579.7529765126634,936.425838033933,1246.320344285911
0.0040000000000000036,102.73652917010402,315.34300127310655,630.9538939399148,993.7156675090952,1303.649421870829
0.006000000000000005,125.82352730841087,353.5277476234967,680.5232822756958,1048.743755002431,1358.5695207849537
0.008000000000000007,148.55690788870365,390.7601525293418,728.3950289332765,1101.4843101355434,1411.0917266507984
0.010000000000000009,170.88341504541054,426.9719355933074,774.516025392465,1151.9255709394204,1461.2379115097071
0.01200000000000001,192.75375682733437,462.1036094214852,818.8458282615408,1200.0688195643436,1509.0396730816642
0.014000000000000012,214.12296082284834,496.1045901219712,861.3561675751492,1245.927314908961,1554.5372630442905
0.016000000000000014,234.9506479820072,528.9331709472776,902.0303261993927,1289.5251709694885,1597.7785228173184
0.018000000000000016,255.20122352780768,560.5563703577541,940.8624149402951,1330.8962073969963,1638.8178427767589
0.020000000000000018,274.843986202172,590.9496680626228,977.8565677916561,1370.0827959623343,1677.7151582156853
0.02200000000000002,293.8531592164171,620.0966441818745,1013.0260808419363,1407.1347235433302,1714.5349928074695
0.02400000000000002,312.20784810092067,647.988537583973,1046.3925168321703,1442.108089028281,1749.3455578857859
0.026000000000000023,329.891932126999,674.6237397397365,1077.9847953682486,1475.064248311147,1782.2179135891395
0.028000000000000025,346.8938970811455,700.0072401638962,1107.8382864876335,1506.0688184494404,1813.2251958646395
0.030000000000000027,363.20661790475066,724.1500387803776,1135.9939227979282,1535.1907491517293,1842.4419115097617
0.03200000000000003,378.8271000869942,747.0685394411495,1162.4973428619624,1562.5014671192744,1869.9433018624225
0.03400000000000003,393.7561887457418,768.7839374489503,1187.398076001241,1588.07409642428,1895.804774428719
0.03600000000000003,407.99825409310864,789.3216123747261,1210.7487763064046,1611.9827560848453,1920.1014006555608
0.038000000000000034,421.5608615080168,808.7105358064914,1232.6045114392673,1634.3019342968573,1942.90747719737
0.040000000000000036,434.4544337798978,826.982701991708,1253.0221098266918,1655.105937396266,1964.2961473728924
0.04200000000000004,446.6919122978152,844.1725877017739,1272.059568105823,1674.468410532081,1984.3390790382105
0.04400000000000004,458.2884230869165,860.3166461031168,1289.7755191926556,1692.4619262056406,2003.1061947922535
0.04600000000000004,469.2609526835746,875.4528380002498,1306.2287601095436,1709.1576362455571,2020.6654502584404
0.04800000000000004,479.62803792986716,889.620202545528,1321.4778377111604,1724.624982409004,2037.082656128087
0.050000000000000044,489.4094728882941,902.8584684014426,1335.5806896752968,1738.9314605972315,2052.4213396870045
0.05199999999999999,498.6260352528668,915.2077053984216,1348.594337553176,1752.14243361609,2066.7426416569456
0.05399999999999999,507.2992338801883,926.7080159515654,1360.5746282798088,1764.320987472646,2080.1052443511317
0.055999999999999994,515.4510783949378,937.3992648754015,1371.5760203035502,1775.527826351047,2092.565327352789
0.057999999999999996,523.1038712439976,947.3208457546873,1381.6514103811276,1785.821201631908,2104.1765471645695
0.06,530.2800220834878,956.511481677082,1390.8519970767725,1795.2568705899068,2114.990037533853
0.062,537.0018839809104,965.0090578944757,1399.2271770803654,1803.8880807073508,2125.054427425281
0.064,543.2916105954098,972.8504838378092,1406.8244706004868,1811.765575863259,2134.4158738799933
0.066,549.1710332559699,980.0715818495943,1413.689472277084,1818.9376209867667,2143.1181072652603
0.068,554.6615566821902,986.7070000041641,1419.8658242806289,1825.4500420914676,2151.2024866740016
0.07,559.7840719764716,992.7901464442733,1425.3952085079509,1831.3462789267944,2158.7080634778
0.07200000000000001,564.5588854513622,998.3531427617766,1430.3173550393522,1836.6674477885972,2165.67165126718
