Slip Angle (deg),FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-12.7,2.0896166324026457,2.0677729083549314,2.0498680590236003,2.033764790174433,2.016864425207923
-12.6,2.0904793796427943,2.068634561911909,2.050660339665023,2.034405413863351,2.0172465457791535
-12.5,2.0913376312100542,2.069490835991889,2.0514440629427546,2.0350317235783626,2.0176056729075773
-12.4,2.092190930196607,2.0703412195181734,2.0522185912048743,2.035642877468925,2.0179406849627575
-12.3,2.093038796514372,2.0711851754111863,2.0529832555283343,2.036237994811051,2.018250412283264
-12.2,2.0938807257186856,2.0720221392657017,2.0537373541653645,2.0368161541652072,2.0185336350605585
-12.1,2.094716187767521,2.0728515179558773,2.054480150907422,2.0373763914418044,2.0187890811263784
-12.0,2.095544625712423,2.0736726881638265,2.0552108733620216,2.0379176978694407,2.019015423639234
-11.9,2.0963654543170183,2.0744849948271975,2.0559287111374682,2.038439017860775,2.0192112786654564
-11.8,2.097178058598743,2.075287749500925,2.056632813930242,2.0389392467706466,2.0193752026500325
-11.7,2.0979817922891097,2.0760802286280198,2.0573222895094414,2.039417228540773,2.0195056897723074
-11.6,2.0987759762075453,2.0768616717139317,2.0579962015923856,2.039871753225053,2.019601169181402
-11.5,2.099559896543485,2.0776312793986595,2.058653567605092,2.0403015543891967,2.0196600021060394
-11.4,2.1003328030410757,2.0783882114204184,2.0592933563209814,2.0407053063780562,2.0196804788332505
-11.3,2.1010939070804326,2.0791315844642586,2.0599144853707596,2.0410816214437197,2.0196608155502425
-11.2,2.101842379649012,2.0798604698886063,2.060515818615988,2.041429046727031,2.019599151043511
-11.1,2.1025773491962134,2.0805738913222385,2.061096163378423,2.0417460610848575,2.019493543249095
-11.0,2.1032978993638576,2.081270822123715,2.061654267516695,2.0420310717550065,2.0193419656476466
-10.899999999999999,2.104003066584681,2.0819501826947455,2.062188816341418,2.0422824108503037,2.019142303497831
-10.8,2.104691837540461,2.082610837638443,2.06269842935926,2.0424983316729075,2.018892349901361
-10.7,2.105363146470783,2.0832515927527835,2.063181656835945,2.042677004839488,2.0185898016927966
-10.6,2.106015872322869,2.0838711918489623,2.063636976167542,2.0428165142074612,2.01823225514708
-10.5,2.1066488357321838,2.0844683133836566,2.0640627880487634,2.042914852591953,2.0178172014976
-10.399999999999999,2.107260795822856,2.08504156689346,2.064457412426306,2.0429699172627287,2.017342022257442
-10.3,2.1078504468161365,2.085589489218983,2.064819084224567,2.0429795052097526,2.016803984336373
-10.2,2.108416414434332,2.0861105405052536,2.065145948830284,2.042941308165585,2.016200234945965
-10.1,2.108957252086722,2.086603099964199,2.0654360573218704,2.0428529073722355,2.015527796285222
-10.0,2.109471436823035,2.0870654613839714,2.0656873614283526,2.0427117680795788,2.0147835599990116
-9.899999999999999,2.109957365039014,2.087495828368922,2.0658977082019345,2.042515233761859,2.013964281401577
-9.8,2.110413347917498,2.0878923092928816,2.0660648343872716,2.0422605200382633,2.0130665734574613
-9.7,2.1108376065872587,2.088252911947278,2.0661863604695405,2.0419447082829647,2.0120869005122266
-9.6,2.111228266980537,2.08857553786435,2.066259784382367,2.0415647389094613,2.0110215717655158
-9.5,2.111583354368858,2.088857976294395,2.0662824748555604,2.0411174043134848,2.0098667344791545
