Slip Angle (deg),IA = -4.0 deg,IA = -3.0 deg,IA = -2.0 deg,IA = -1.0 deg,IA = 0.0 deg,IA = 1.0 deg,IA = 2.0 deg,IA = 3.0 deg,IA = 4.0 deg
-23.0,-1341.2975783128916,-1357.3553394068133,-1368.9005385271096,-1375.9571563743696,-1378.5528293062125,-1381.2096150206964,-1379.4192336163571,-1373.1709993652803,-1362.4566339719963
-22.8,-1342.1824635813427,-1358.2462598126083,-1369.7937563340915,-1376.8487462225364,-1379.4387049616535,-1382.0935641909998,-1380.2980326034074,-1374.0415322070428,-1363.315876239104
-22.6,-1343.0754617772677,-1359.1456155443143,-1370.6957157956429,-1377.749357435933,-1380.3338449341982,-1382.986579823059,-1381.1856939693807,-1374.9207214645817,-1364.1835704982052
-22.4,-1343.976589607451,-1360.0534382294584,-1371.606464279082,-1378.6590534741238,-1381.2383286707532,-1383.8887330766934,-1382.0822817321805,-1375.8086253046426,-1365.0597704613533
-22.2,-1344.885857415022,-1360.9697539016454,-1372.5260443971363,-1379.5778939284207,-1382.1522326609804,-1384.8000918045386,-1382.9878563372138,-1376.705298145672,-1365.9445260090517
-22.0,-1345.8032685946196,-1361.894582460892,-1373.454493518143,-1380.5059340854284,-1383.0756300564287,-1385.7207201556382,-1383.9024742509912,-1377.6107902471078,-1366.837882780964
-21.799999999999997,-1346.7288189607216,-1362.8279370901132,-1374.3918432357239,-1381.4432244536238,-1384.0085902564472,-1386.6506781451346,-1384.8261875205137,-1378.5251472645305,-1367.739881732935
-21.6,-1347.6624960652853,-1363.7698236241374,-1375.3381187945452,-1382.3898102498583,-1384.9511784580438,-1387.5900211871888,-1385.7590432955865,-1379.448409767837,-1368.6505586575365
-21.4,-1348.604278460512,-1364.720239867292,-1376.293338468479,-1383.3457308423792,-1385.9034551665823,-1388.538799588008,-1386.7010833109407,-1380.3806127193643,-1369.5699436651278
-21.2,-1349.5541349021742,-1365.6791748552662,-1377.2575128871529,-1384.31101914666,-1386.8654756639473,-1389.4970579955802,-1387.6523433247714,-1381.3217849086022,-1370.4980606221318
-21.0,-1350.5120234885428,-1366.6466080565601,-1378.2306443065106,-1385.2857009700153,-1387.8372894304837,-1390.4648348024018,-1388.612852509993,-1382.2719483398453,-1371.4349265429778
-20.799999999999997,-1351.477890729516,-1367.6225085084268,-1379.2127258186274,-1386.2697943005796,-1388.8189395166953,-1391.4421614971632,-1389.5826327941857,-1383.2311175688149,-1372.380550931799
-20.6,-1352.4516705400483,-1368.606833881742,-1380.203740495569,-1387.2633085358577,-1389.8104618603093,-1392.429061960971,-1390.5616981438434,-1384.199298983909,-1373.3349350696692
-20.4,-1353.433283151469,-1369.5995294687307,-1381.2036604616333,-1388.266243645595,-1390.811884543907,-1393.4255517033046,-1391.5500537881323,-1385.1764900273727,-1374.2980712427543
-20.2,-1354.422633933678,-1370.6005270869375,-1382.2124458877793,-1389.2785892632373,-1391.8232269878793,-1394.4316370324314,-1392.5476953769319,-1386.1626783512268,-1375.2699419063579
-20.0,-1355.4196121205784,-1371.6097438922163,-1383.2300439014766,-1390.300323699716,-1392.8444990729759,-1395.447314154552,-1393.5546080674542,-1387.1578409023432,-1376.2505187793736
-19.799999999999997,-1356.4240894303928,-1372.6270810928345,-1384.256387404593,-1391.33141287272,-1393.8757001861688,-1396.4725681953837,-1394.570765533208,-1388.1619429305363,-1377.2397618631628
