Slip Angle (deg),FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-10.799999999999997,-631.4075512621382,-1041.3054188192214,-1443.8889005514818,-1838.248498505617,-2220.781584891497
-10.599999999999998,-631.8047616968606,-1041.935595924481,-1444.5458833172795,-1838.534862786715,-2220.0554806617884
-10.399999999999999,-632.1782387468569,-1042.52078344673,-1445.1201886984143,-1838.6729255364558,-2219.0762244831863
-10.2,-632.5249243302995,-1043.0552702526268,-1445.6021641811988,-1838.6471773490264,-2217.8202584405612
-10.0,-632.8414310469105,-1043.5327306919858,-1445.9811529998467,-1838.4405912716209,-2216.2619159989126
-9.799999999999997,-633.1240043752493,-1043.9461546464408,-1446.24538407109,-1838.034468034437,-2214.373230803207
-9.599999999999998,-633.3684800941611,-1044.287768932175,-1446.381849067657,-1837.408265018515,-2212.1237289420674
-9.399999999999999,-633.57023626656,-1044.548948907287,-1446.3761650670353,-1836.539407312362,-2209.480203604657
-9.2,-633.7241390246666,-1044.720118974197,-1446.2124210253978,-1835.4030790778897,-2206.4064711000465
-9.0,-633.8244812811507,-1044.7906404850944,-1445.8730061215247,-1833.9719933187814,-2202.8631072874823
-8.799999999999997,-633.8649133578898,-1044.7486853510798,-1445.3384177917692,-1832.2161380254756,-2198.8071635958804
-8.599999999999998,-633.8383643704136,-1044.5810934204985,-1444.587047035126,-1830.1024965681845,-2194.191862005667
-8.399999999999999,-633.7369530283714,-1044.2732114261355,-1443.5949383088816,-1827.5947401329224,-2188.9662686429488
-8.2,-633.5518863069391,-1043.808711001674,-1442.3355210633672,-1824.6528899590573,-2183.074946015471
-8.0,-633.2733442070238,-1043.1693829327014,-1440.7793096844384,-1821.2329471582275,-2176.457584426412
-7.799999999999997,-632.8903485491252,-1042.3349044349047,-1438.8935683330171,-1817.286487996777,-2169.0486137644057
-7.599999999999998,-632.3906134322588,-1041.2825758414951,-1436.6419369051391,-1812.7602227369634,-2160.7767977196354
-7.399999999999999,-631.7603746309153,-1039.9870226349756,-1433.9840141020625,-1807.5955164940003,-2151.5648135542333
-7.199999999999999,-630.984194795417,-1038.4198582798913,-1430.874893424446,-1801.7278711243523,-2141.3288219029623
-7.0,-630.0447408609255,-1036.5493028127596,-1427.264647824062,-1795.0863679752447,-2129.978032743289
-6.799999999999997,-628.9225295562669,-1034.3397516394932,-1423.09775881133,-1787.593072469603,-2117.4142757010163
-6.599999999999998,-627.595636337274,-1031.7512885060746,-1418.3124860952285,-1779.1624030641738,-2103.531585297129
-6.399999999999999,-626.0393624574053,-1028.7391361861428,-1412.8401744149462,-1769.700469208557,-2088.2158146383763
-6.199999999999999,-624.2258542461291,-1025.2530381311421,-1406.6044952304635,-1759.1043856756805,-2071.3442944444896
-6.0,-622.1236680209828,-1021.23656424473,-1399.5206225293523,-1747.2615741749064,-2052.7855582084994
-5.799999999999997,-619.6972734597663,-1016.6263342024621,-1391.4943443823504,-1734.0490676595355,-2032.3991586967677
-5.599999999999998,-616.9064877814174,-1011.3511525229203,-1382.421115298553,-1719.3328383742983,-2010.0356058661062
-5.399999999999999,-613.7058328466082,-1005.3310511617137,-1372.1850592145918,-1702.9671776298928,-1985.5364615050628
-5.199999999999999,-610.0438074724151,-998.4762380945322,-1360.6579394953421,-1684.7941636987823,-1958.7346313189173
-5.0,-605.8620681277761,-990.6859546523581,-1347.6981210966321,-1664.6432642135392,-1929.4549005001188
-4.799999999999997,-601.0945131296297,-981.8472509001864,-1333.1495615836616,-1642.331131046724,-1897.5147636662482
-4.599999999999998,-595.6662690559426,-971.8336979309471,-1316.8408826028597,-1617.6616587504157,-1862.7256038746814
-4.399999999999999,-589.4925841238734,-960.5040696230075,-1298.5845922637554,-1590.426391910469,-1824.8942775515497
-4.199999999999999,-582.4776428432141,-947.7010454678685,-1278.1765522134083,-1560.4053815929337,-1783.8251617604537
-4.0,-574.5133308194582,-933.2500120232515,-1255.39581126576,-1527.368605374681,-1739.3227163025244
-3.799999999999997,-565.4780000640768,-916.9580750323356,-1230.004960120297,-1491.0780776624972,-1691.1946046100434
-3.599999999999998,-555.2353159529953,-898.6134388491,-1201.7511980322731,-1451.2907848652496,-1639.2554031885043
-3.3999999999999986,-543.63330981163,-877.9853656213658,-1170.3683401243738,-1407.7625805123298,-1583.3309085158496
-3.1999999999999993,-530.5038188037809,-854.8249936159247,-1135.5800294186781,-1360.2531649052846,-1523.2630221605211
-3.0,-515.6625694948068,-828.8673697057862,-1097.1044442613327,-1308.5322480718576,-1458.915159287543
-2.799999999999997,-498.91025320422125,-799.835128970415,-1054.6608002419248,-1252.3869491792948,-1390.178083297787
-2.599999999999998,-480.03504565308725,-767.4443220007435,-1007.9779232718913,-1191.6304161185105,-1316.9760216885431
-2.3999999999999986,-458.8171279381628,-731.4129266255165,-956.8051014651878,-1126.1115530825407,-1239.2728680788327
-2.1999999999999993,-435.03584508591416,-691.4725535106637,-900.9252906191622,-1055.7256217435618,-1157.078226637591
-2.0,-408.48014887762844,-647.3837218481106,-840.1705359094418,-980.4253373924353,-1070.4530128407425
-1.7999999999999972,-378.96284896947213,-598.9547931563499,-774.4391725716154,-900.2319250311996,-979.5142941598766
-1.5999999999999979,-346.3388598966088,-546.0641643827274,-703.7139873371457,-815.2454482102133,-884.4390415655927
-1.3999999999999986,-310.52700355660994,-488.6846192524618,-628.0800901301644,-725.6535978542696,-785.4664724449568
-1.1999999999999993,-271.5339732877254,-426.90785996226293,-547.7408222018346,-631.73805618213,-682.8987008676205
-1.0,-229.4778590001682,-360.96632019063406,-463.0297037027645,-533.8775592922093,-577.0994728584014
-0.7999999999999972,-184.60741606424665,-291.24863031405766,-374.4163126023934,-432.54689310994956,-468.490850320889
-0.5999999999999979,-137.31246808306216,-218.30488099007707,-282.50419586712303,-328.31128157002837,-357.547812430538
-0.3999999999999986,-88.12100440423818,-142.8384177916397,-188.01951002771509,-221.8159560778863,-244.79086006802828
-0.1999999999999993,-37.6800839368819,-65.68245300748335,-91.79005841862813,-113.77110375843205,-130.7768278865411
0.0,13.278934921064119,12.23773451581911,5.284379520412566,-4.932831618697304,-16.08821997579831
0.20000000000000284,63.95735850653911,89.9347197737546,102.26398780808618,103.92268293127321,98.68432509795028
0.40000000000000213,113.5296363314894,166.39395033492667,198.20050369803792,212.03472481629836,212.98242784420563
0.6000000000000014,161.25217231668776,240.67137642925195,292.1888810685688,318.66778088471,326.2678007617062
0.8000000000000007,206.5170633089941,311.95084292636363,383.4067745928393,423.1272943670408,438.0180553514675
1.0,248.87972935886336,379.5793987329207,471.1438231124749,524.7773541208886,547.7348063587569
1.2000000000000028,288.0640835717528,443.0836148251968,554.82110803666,623.0551148300989,654.9513001158124
1.4000000000000021,323.94917277027105,502.1680858712712,634.0001958525905,717.481332938431,759.2393386156086
1.6000000000000014,356.54379694263656,556.699896890225,708.3824998305587,807.6667355591496,860.2152803599881
1.8000000000000007,385.95587148243936,606.6840428661426,777.8006690046423,893.3142688128938,957.5449070377824
2.0,412.3619657391511,652.2347150525538,842.2042328600278,974.2175616133064,1050.9469761102737
2.200000000000003,435.98049340445203,693.5464472247832,901.6418202988178,1050.256163593886,1140.1953332716926
2.3999999999999986,457.05018315455953,730.8678443865501,956.2420353385726,1121.38825679734,1225.1195305067486
2.6000000000000014,475.81409254737656,764.4793812657105,1006.1946446887184,1187.6415980533347,1305.603976499573
2.8000000000000043,492.50861212085033,794.6757742159665,1051.7332390616864,1249.1034318706672,1381.5857263023877
3.0,507.3565406224878,821.7527646781446,1093.1200631747006,1305.9100389315988,1453.0510868573426
3.200000000000003,520.5632457603814,845.997777053988,1130.6333225093456,1358.2364730675563,1520.0312668802849
3.3999999999999986,532.3150221827636,867.6837584924076,1164.5569883078758,1406.2869097365194,1582.5973297343933
3.6000000000000014,542.7789228961519,887.0654965494666,1195.1729332015366,1450.2858982745659,1640.8547156577672
3.8000000000000043,552.1035140961758,904.3777793735219,1222.7551227894446,1490.4706908230744,1694.937587403863
4.0,560.4201575882443,919.8348666498382,1247.565543303312,1527.0847203216101,1745.0032253538943
4.200000000000003,567.8445492019018,933.6308496402585,1269.851542631671,1560.372221540349,1791.2266597660132
4.399999999999999,574.4783354510619,945.9405798638542,1289.8442850306951,1590.5739327770925,1833.7956843504026
4.600000000000001,580.4106982677722,956.9209315689309,1307.7580564212192,1617.9237793730395,1872.9063514348643
4.800000000000004,585.7198443998574,966.7122316326178,1323.7901986868826,1642.6464202568459,1908.759008167477
5.0,590.4743672594077,975.4397431138799,1338.1214924223748,1664.9555315761365,1941.5548978443724
5.200000000000003,594.734469042502,983.2151277708791,1350.916845068986,1685.052703539823,1971.4933217772084
5.399999999999999,598.553043233215,990.1378410977829,1362.3261738856959,1703.1268347553496,1998.7693354260061
5.600000000000001,601.9766246867815,996.2964333184332,1372.485400352928,1719.3539200797438,2023.571937442059
5.800000000000004,605.0462181610586,1001.7697433999734,1381.5174946222492,1733.8971413994288,2046.0827009887676
6.0,607.7980176812773,1006.6279822083325,1389.5335260546867,1746.9071844513494,2066.474792217809
6.200000000000003,610.2640293247883,1010.9337067238118,1396.6336894041883,1758.5227178984387,2084.912320004915
6.399999999999999,612.4726094577907,1014.7426907477752,1402.908286482833,1768.8709828384287,2101.54996298489
6.600000000000001,614.448929504585,1018.1046994785978,1408.4386508208838,1778.0684514855839,2116.532823685902
6.800000000000004,616.2153772073492,1021.0641762336429,1413.2980084576566,1786.2215228354125,2129.996464420196
7.0,617.7919031774061,1023.6608498102212,1417.5522720304293,1793.4272307396275,2142.0670849735684
7.200000000000003,619.1963204259584,1025.9302707674256,1421.2607681451893,1799.7739460923008,2152.861807628178
7.399999999999999,620.4445635347289,1027.9042844474109,1424.4768999161483,1805.3420599057295,2162.489040359514
7.600000000000001,621.5509132031568,1029.6114479568562,1427.2487477870313,1810.2046380973209,2171.0488939794905
7.800000000000004,622.5281910931665,1031.0773976745893,1429.6196124790451,1814.4280419764061,2178.6336334458592
8.0,623.3879291813689,1032.3251731891978,1431.628504287785,1818.07251086111,2185.3281474755577
8.200000000000003,624.1405172140578,1033.3755029313493,1433.3105830795537,1821.192705103461,2191.2104239808787
8.400000000000006,624.7953313327366,1034.247056166865,1434.6975532952624,1823.838209171468,2196.3520217152222
8.600000000000001,625.3608464869283,1034.9566654672276,1435.8180181152482,1826.053995428243,2200.8185309096625
8.800000000000004,625.8447348667303,1035.5195232773235,1436.6977967132327,1827.8808499422362,2204.670017651716
9.0,626.2539522607929,1035.9493557556054,1437.360208262563,1829.3557621265534,2207.961448355942
9.200000000000003,626.5948139678517,1036.2585766670961,1437.8263260742706,1830.5122802935498,2210.7430919543262
9.400000000000006,626.8730616543515,1036.458423761206,1438.11520495909,1831.3808353670481,2213.060898441707
9.600000000000001,627.093922350737,1036.5590797601042,1438.2440846243967,1831.9890350530875,2214.956853192482
9.800000000000004,627.262160609199,1036.5697798151473,1438.228571648348,1832.361930758131,2216.4693070591
10.0,627.382124701428,1036.4989070544143,1438.0828023212641,1832.522259482069,2217.6332827049173
10.200000000000003,627.457787612253,1036.3540776398866,1437.8195884104284,1832.4906628182625,2218.4807579433573
10.400000000000006,627.4927834806253,1036.1422165745496,1437.4505476898405,1832.2858850764148,2219.0409270769624
10.600000000000001,627.4904400503934,1035.8696253444732,1436.9862208809207,1831.9249524154059,2219.3404413745266
10.800000000000004,627.453807617329,1035.5420423457917,1436.4361764731116,1831.4233347390373,2219.403629909327
11.0,627.3856848939166,1035.16469692886,1435.8091047337582,1830.7950919728114,2219.252702020372
11.200000000000003,627.2886421578003,1034.7423577894417,1435.1129020733897,1830.053006207787,2218.9079326630394
11.400000000000006,627.1650420020753,1034.2793763475754,1434.3547468043002,1829.2087010705745,2218.387831894391
11.600000000000001,627.0170579646476,1033.7797256770207,1433.5411672158093,1828.272749558133,2217.7092996992005
11.800000000000004,626.8466912786062,1033.2470354804002,1432.6781027875238,1827.2547714630998,2216.8877673108386
12.0,626.6557859551624,1032.6846235459916,1431.7709592710853,1826.1635214104067,2215.9373261211563
